ID,Location,x,y
1366,Prince Henry Heights,151.9905,-27.55295
1367,Withcott,152.026,-27.55364
1368,Placid Hills,152.2504,-27.5578
1369,Gatton,152.2751,-27.56033
1370,Toowoomba,151.9528,-27.56216
1371,Coochiemudlo Island,153.3328,-27.56886
1372,Marburg,152.5954,-27.56895
1373,Grantham,152.2012,-27.57374
1374,Plainland,152.4165,-27.57656
1375,Forest Hill,152.3549,-27.58999
1376,Macleay Island,153.3615,-27.59184
1377,Walloon,152.6725,-27.60325
1378,Westbrook,151.8757,-27.60355
1379,Lamb Island,153.3798,-27.62387
1380,Thagoona,152.6257,-27.62401
1381,Laidley,152.3938,-27.63099
1382,Rosewood,152.5889,-27.63446
1383,Mount Cotton,153.2508,-27.63515
1384,Laidley Heights,152.3675,-27.63571
1385,Wyreema,151.8542,-27.65743
1386,Ripley,152.7864,-27.66642
1387,Southbrook,151.7128,-27.67579
1388,Russell Island,153.3905,-27.68322
1389,Deebing Heights,152.7546,-27.69709
1390,Cambooya,151.8615,-27.70633
1391,Pittsworth,151.6329,-27.71797
1392,Cabbage Tree Point,153.3552,-27.73664
1393,Logan Village,153.1134,-27.77455
1394,Jacobs Well,153.3629,-27.78179
1395,Greenmount,151.9059,-27.78299
1396,Peak Crossing,152.7294,-27.78404
1397,Harrisville,152.6677,-27.81036
1398,Jimboomba - West,152.9618,-27.81259
1399,Jimboomba,153.0307,-27.83265
1400,Mundoolun,153.0767,-27.86482
1401,Cedar Grove,152.9843,-27.86655
1402,Millmerran,151.2671,-27.87814
1403,Cedar Vale,153.002,-27.87876
1404,Tamborine,153.1285,-27.88138
1405,Eagle Heights,153.2054,-27.92251
1406,Clifton,151.9083,-27.92996
1407,Maudsland,153.2774,-27.93276
1408,Kalbar,152.6229,-27.94196
1409,Gleneagle,152.9918,-27.94234
1410,Boyland,153.1642,-27.94939
1411,Mount Tamborine,153.2014,-27.97114
1412,Mount Nathan,153.2639,-27.97678
1413,Aratula,152.5384,-27.98409
1414,Beaudesert,152.9992,-27.98632
1415,Gold Coast,153.4277,-27.99114
1416,Thargomindah,143.8229,-27.99583
1417,Boonah,152.6824,-27.9978
1418,Canungra,153.1598,-28.01415
1419,Allora,151.982,-28.03472
1420,St George,148.5812,-28.03888
1421,Lower Beechmont,153.2516,-28.04105
1422,Cunnamulla,145.6832,-28.06921
1423,Kooralbyn,152.8443,-28.08068
1424,Beechmont,153.206,-28.09893
1425,Springbrook,153.2644,-28.18766
1426,Yangan,152.2107,-28.19552
1427,Rathdowney,152.8635,-28.20976
1428,Warwick,152.0311,-28.21745
1429,Inglewood,151.0795,-28.41751
1430,Goondiwindi,150.3062,-28.54799
1431,Yelarbon,150.7524,-28.57416
1432,Dirranbandi,148.2271,-28.5841
1433,Stanthorpe,151.9327,-28.65779
1434,Johnstone,148.5382,-28.6787
1435,Smithfield,145.690172,-16.83142
1436,Texas,151.1692,-28.85306
1437,Wallangarra,151.9262,-28.92345
1438,Birdsville,139.3551,-25.8978
1439,Durham,141.811455,-27.397056
1440,Hungerford,144.409847,-28.996741
1441,RBWH,153.0285,-27.447
